,keyword,date,index
1,比特币,2015-08-01,6
1,比特币,2015-08-02,18
1,比特币,2015-08-03,501
1,比特币,2015-08-04,104
1,比特币,2015-08-05,4
1,比特币,2015-08-06,11
1,比特币,2015-08-07,6
1,比特币,2015-08-08,2
1,比特币,2015-08-09,1
1,比特币,2015-08-10,3
1,比特币,2015-08-11,9
1,比特币,2015-08-12,5
1,比特币,2015-08-13,7
1,比特币,2015-08-14,5
1,比特币,2015-08-15,2
1,比特币,2015-08-16,2
1,比特币,2015-08-17,7
1,比特币,2015-08-18,5
1,比特币,2015-08-19,9
1,比特币,2015-08-20,9
1,比特币,2015-08-21,7
1,比特币,2015-08-22,0
1,比特币,2015-08-23,5
1,比特币,2015-08-24,8
1,比特币,2015-08-25,7
1,比特币,2015-08-26,0
1,比特币,2015-08-27,6
1,比特币,2015-08-28,6
1,比特币,2015-08-29,2
1,比特币,2015-08-30,0
1,比特币,2015-08-31,8
1,比特币,2015-09-01,13
1,比特币,2015-09-02,5
1,比特币,2015-09-03,0
1,比特币,2015-09-04,0
1,比特币,2015-09-05,2
1,比特币,2015-09-06,3
1,比特币,2015-09-07,8
1,比特币,2015-09-08,7
1,比特币,2015-09-09,4
1,比特币,2015-09-10,11
1,比特币,2015-09-11,10
1,比特币,2015-09-12,2
1,比特币,2015-09-13,5
1,比特币,2015-09-14,9
1,比特币,2015-09-15,9
1,比特币,2015-09-16,9
1,比特币,2015-09-17,12
1,比特币,2015-09-18,19
1,比特币,2015-09-19,11
1,比特币,2015-09-20,3
1,比特币,2015-09-21,229
1,比特币,2015-09-22,12
1,比特币,2015-09-23,10
1,比特币,2015-09-24,11
1,比特币,2015-09-25,10
1,比特币,2015-09-26,4
1,比特币,2015-09-27,2
1,比特币,2015-09-28,10
1,比特币,2015-09-29,0
1,比特币,2015-09-30,7
1,比特币,2015-10-01,0
1,比特币,2015-10-02,1
1,比特币,2015-10-03,0
1,比特币,2015-10-04,1
1,比特币,2015-10-05,7
1,比特币,2015-10-06,3
1,比特币,2015-10-07,1
1,比特币,2015-10-08,12
1,比特币,2015-10-09,10
1,比特币,2015-10-10,5
1,比特币,2015-10-11,0
1,比特币,2015-10-12,6
1,比特币,2015-10-13,12
1,比特币,2015-10-14,9
1,比特币,2015-10-15,7
1,比特币,2015-10-16,6
1,比特币,2015-10-17,2
1,比特币,2015-10-18,0
1,比特币,2015-10-19,3
1,比特币,2015-10-20,5
1,比特币,2015-10-21,10
1,比特币,2015-10-22,5
1,比特币,2015-10-23,9
1,比特币,2015-10-24,4
1,比特币,2015-10-25,2
1,比特币,2015-10-26,7
1,比特币,2015-10-27,9
1,比特币,2015-10-28,18
1,比特币,2015-10-29,183
1,比特币,2015-10-30,7
1,比特币,2015-10-31,4
1,比特币,2015-11-01,2
1,比特币,2015-11-02,9
1,比特币,2015-11-03,18
1,比特币,2015-11-04,19
1,比特币,2015-11-05,205
1,比特币,2015-11-06,234
1,比特币,2015-11-07,11
1,比特币,2015-11-08,5
1,比特币,2015-11-09,18
1,比特币,2015-11-10,184
1,比特币,2015-11-11,18
1,比特币,2015-11-12,18
1,比特币,2015-11-13,11
1,比特币,2015-11-14,3
1,比特币,2015-11-15,3
1,比特币,2015-11-16,11
1,比特币,2015-11-17,13
1,比特币,2015-11-18,16
1,比特币,2015-11-19,18
1,比特币,2015-11-20,18
1,比特币,2015-11-21,5
1,比特币,2015-11-22,1
1,比特币,2015-11-23,8
1,比特币,2015-11-24,12
1,比特币,2015-11-25,14
1,比特币,2015-11-26,6
1,比特币,2015-11-27,5
1,比特币,2015-11-28,0
1,比特币,2015-11-29,0
1,比特币,2015-11-30,5
1,比特币,2015-12-01,6
1,比特币,2015-12-02,7
1,比特币,2015-12-03,10
1,比特币,2015-12-04,9
1,比特币,2015-12-05,1
1,比特币,2015-12-06,0
1,比特币,2015-12-07,9
1,比特币,2015-12-08,9
1,比特币,2015-12-09,16
1,比特币,2015-12-10,243
1,比特币,2015-12-11,82
1,比特币,2015-12-12,1
1,比特币,2015-12-13,1
1,比特币,2015-12-14,8
1,比特币,2015-12-15,10
1,比特币,2015-12-16,9
1,比特币,2015-12-17,6
1,比特币,2015-12-18,6
1,比特币,2015-12-19,4
1,比特币,2015-12-20,1
1,比特币,2015-12-21,8
1,比特币,2015-12-22,10
1,比特币,2015-12-23,6
1,比特币,2015-12-24,9
1,比特币,2015-12-25,11
